Province/State,Week Ending,Unit Sales
Louisiana ,01-12-20,82034.16398
Louisiana ,01-19-20,75441.39418999999
Louisiana ,01-26-20,72976.58734
Louisiana ,02-02-20,78851.81726
Louisiana ,02-09-20,87522.06836
Louisiana ,02-16-20,84846.1437
Louisiana ,02-23-20,79872.3892
Louisiana ,03-01-20,98040.6891
Louisiana ,03-08-20,180182.6261
Louisiana ,03-15-20,376472.8716
Louisiana ,03-22-20,256559.1218
Maine ,12-08-19,27247.440619999998
Maine ,12-15-19,27499.248539999997
Maine ,12-22-19,28346.004530000002
Maine ,12-29-19,27980.4915
Maine ,01-05-20,27339.26106
Maine ,01-12-20,26068.59183
Maine ,01-19-20,23247.38465
Maine ,01-26-20,23756.59966
Maine ,02-02-20,24928.950259999998
Maine ,02-09-20,24906.09725
Maine ,02-16-20,27028.797769999997
Maine ,02-23-20,26667.48069
Maine ,03-01-20,31725.6523
Maine ,03-08-20,59510.40467999999
Maine ,03-15-20,101935.9341
Maine ,03-22-20,78917.21167
Maryland ,12-08-19,129703.17599999999
Maryland ,12-15-19,123477.2594
Maryland ,12-22-19,124475.9812
Maryland ,12-29-19,127292.5094
Maryland ,01-05-20,132913.8681
Maryland ,01-12-20,120370.5523
Maryland ,01-19-20,121761.5181
Maryland ,01-26-20,128124.8874
Maryland ,02-02-20,132351.4519
Maryland ,02-09-20,134627.7721
Maryland ,02-16-20,130811.8237
Maryland ,02-23-20,134168.4612
Maryland ,03-01-20,183814.0057
Maryland ,03-08-20,338222.3557
Maryland ,03-15-20,479888.0592
Maryland ,03-22-20,350024.0078
Massachusetts ,12-08-19,135914.6739
Massachusetts ,12-15-19,136742.59699999998
Massachusetts ,12-22-19,131880.8222
Massachusetts ,12-29-19,129000.023
Massachusetts ,01-05-20,136923.8788
Massachusetts ,01-12-20,136744.245
Massachusetts ,01-19-20,139254.0965
Massachusetts ,01-26-20,133392.0899
Massachusetts ,02-02-20,138969.2743
Massachusetts ,02-09-20,148160.3985
Massachusetts ,02-16-20,137433.344
Massachusetts ,02-23-20,144398.654
Massachusetts ,03-01-20,190574.9068
Massachusetts ,03-08-20,380137.45200000005
Massachusetts ,03-15-20,576120.4118
Massachusetts ,03-22-20,432028.8241
Michigan ,12-08-19,252764.7467
Michigan ,12-15-19,248415.8249
Michigan ,12-22-19,246192.2737
Michigan ,12-29-19,240873.5066
Michigan ,01-05-20,223858.2
Michigan ,01-12-20,249348.4315
Michigan ,01-19-20,224420.7091
Michigan ,01-26-20,216451.6669
Michigan ,02-02-20,232467.8277
Michigan ,02-09-20,237075.0345
Michigan ,02-16-20,244277.4048
Michigan ,02-23-20,245114.3257
Michigan ,03-01-20,291198.751
Michigan ,03-08-20,462519.9542
Michigan ,03-15-20,1091174.976
Michigan ,03-22-20,746280.0434
Minnesota ,12-08-19,124645.8058
Minnesota ,12-15-19,118310.0446
Minnesota ,12-22-19,121026.6144
Minnesota ,12-29-19,107278.8762
Minnesota ,01-05-20,108950.7327
Minnesota ,01-12-20,107869.0826
Minnesota ,01-19-20,99554.50252000001
Minnesota ,01-26-20,102562.5022
Minnesota ,02-02-20,108800.2315
Minnesota ,02-09-20,116035.4334
Minnesota ,02-16-20,111364.8458
Minnesota ,02-23-20,114945.0083
Minnesota ,03-01-20,149391.116
Minnesota ,03-08-20,267400.5804
Minnesota ,03-15-20,473792.2722
Minnesota ,03-22-20,366693.7496
Mississippi ,12-08-19,54244.73018
Mississippi ,12-15-19,50727.4024
Mississippi ,12-22-19,52479.511739999994
Mississippi ,12-29-19,61497.990060000004
Mississippi ,01-05-20,52794.51958
Mississippi ,01-12-20,58604.833289999995
Mississippi ,01-19-20,49046.86376
Mississippi ,01-26-20,49031.498719999996
Mississippi ,02-02-20,53024.06192
Mississippi ,02-09-20,61306.61391
Mississippi ,02-16-20,55942.057810000006
Mississippi ,02-23-20,54336.40621
Mississippi ,03-01-20,67391.3781
Mississippi ,03-08-20,110287.8522
Mississippi ,03-15-20,238028.125
Mississippi ,03-22-20,185156.947
Missouri ,12-08-19,131793.3737
Missouri ,12-15-19,125011.7691
Missouri ,12-22-19,119414.9508
Missouri ,12-29-19,124987.1092
Missouri ,01-05-20,122345.0101
Missouri ,01-12-20,123745.2864
Missouri ,01-19-20,110425.1985
Missouri ,01-26-20,111863.5823
Missouri ,02-02-20,123369.1401
Missouri ,02-09-20,129036.0718
Missouri ,02-16-20,124307.6947
Missouri ,02-23-20,127553.2375
Missouri ,03-01-20,155503.0352
Missouri ,03-08-20,247735.8293
Missouri ,03-15-20,489557.79
Missouri ,03-22-20,367647.3237
Nebraska ,12-08-19,41393.26233
Nebraska ,12-15-19,39460.25731
Nebraska ,12-22-19,39498.15361
Nebraska ,12-29-19,38991.718810000006
Nebraska ,01-05-20,36569.403119999995
Nebraska ,01-12-20,42423.49918
Nebraska ,01-19-20,35861.271239999995
Nebraska ,01-26-20,34195.63187
Nebraska ,02-02-20,39880.33641
Nebraska ,02-09-20,40178.66714
Nebraska ,02-16-20,40412.13415
Nebraska ,02-23-20,39275.06157
Nebraska ,03-01-20,52568.08482
Nebraska ,03-08-20,104625.8841
Nebraska ,03-15-20,171353.157
Nebraska ,03-22-20,107871.5637
Nevada ,12-08-19,59187.85891
Nevada ,12-15-19,57066.72682999999
Nevada ,12-22-19,58564.547999999995
Nevada ,12-29-19,62675.49141
Nevada ,01-05-20,65825.05935
Nevada ,01-12-20,66520.55886
Nevada ,01-19-20,56877.11626
Nevada ,01-26-20,58147.14677000001
Nevada ,02-02-20,65586.8996
Nevada ,02-09-20,65592.02297
Nevada ,02-16-20,64734.47202000001
Nevada ,02-23-20,64789.515060000005
Nevada ,03-01-20,96287.61902
Nevada ,03-08-20,186719.562
Nevada ,03-15-20,228952.7808
Nevada ,03-22-20,155831.5168
New Hampshire ,12-08-19,35632.49833
New Hampshire ,12-15-19,39016.20474
New Hampshire ,12-22-19,38348.10318
New Hampshire ,12-29-19,37754.11767
New Hampshire ,01-05-20,38376.37163
New Hampshire ,01-12-20,36759.11353
New Hampshire ,01-19-20,36853.593810000006
New Hampshire ,01-26-20,36517.18236
New Hampshire ,02-02-20,35710.44008
New Hampshire ,02-09-20,36360.6609
New Hampshire ,02-16-20,37321.11532
New Hampshire ,02-23-20,39821.35032
New Hampshire ,03-01-20,45769.75389
New Hampshire ,03-08-20,94407.39011000001
New Hampshire ,03-15-20,143822.0662
New Hampshire ,03-22-20,110083.6935
New Jersey ,12-08-19,170526.1566
New Jersey ,12-15-19,172101.7169
New Jersey ,12-22-19,178264.6209
New Jersey ,12-29-19,176841.5975
New Jersey ,01-05-20,178208.4048
New Jersey ,01-12-20,192698.927
New Jersey ,01-19-20,182757.2797
New Jersey ,01-26-20,195637.0832
New Jersey ,02-02-20,186915.0464
New Jersey ,02-09-20,198542.7227
New Jersey ,02-16-20,181523.9383
New Jersey ,02-23-20,183179.0523
New Jersey ,03-01-20,243681.4811
New Jersey ,03-08-20,565371.9244
New Jersey ,03-15-20,794648.7804
New Jersey ,03-22-20,504704.5774
New Mexico ,12-08-19,46430.05425
New Mexico ,12-15-19,41682.33072
New Mexico ,12-22-19,42164.182069999995
New Mexico ,12-29-19,42112.97788
New Mexico ,01-05-20,44518.20982
New Mexico ,01-12-20,45940.16218
New Mexico ,01-19-20,41721.97187
New Mexico ,01-26-20,42047.72558
New Mexico ,02-02-20,43556.98361
New Mexico ,02-09-20,47772.458810000004
New Mexico ,02-16-20,45230.07069
New Mexico ,02-23-20,46162.87195
New Mexico ,03-01-20,57804.70949
New Mexico ,03-08-20,109842.8897
New Mexico ,03-15-20,178246.2269
New Mexico ,03-22-20,114898.1559
New York ,12-08-19,292888.0169
New York ,12-15-19,297124.253
New York ,12-22-19,289172.9991
New York ,12-29-19,287698.0351
New York ,01-05-20,290195.5902
New York ,01-12-20,305236.9385
New York ,01-19-20,295341.7549
New York ,01-26-20,304725.8864
New York ,02-02-20,307993.9881
New York ,02-09-20,314999.1954
New York ,02-16-20,304289.0995
New York ,02-23-20,313876.9173
New York ,03-01-20,409154.1736
New York ,03-08-20,834071.7593
New York ,03-15-20,1227481.533
New York ,03-22-20,878251.1202
North Carolina ,12-08-19,220667.2894
North Carolina ,12-15-19,213176.1354
North Carolina ,12-22-19,231590.0826
North Carolina ,12-29-19,221203.9004
North Carolina ,01-05-20,220128.276
North Carolina ,01-12-20,204549.5493
North Carolina ,01-19-20,204600.1599
North Carolina ,01-26-20,204848.4058
North Carolina ,02-02-20,231863.6016
North Carolina ,02-09-20,224641.2984
North Carolina ,02-16-20,223596.2185
North Carolina ,02-23-20,212140.0295
North Carolina ,03-01-20,297122.6832
North Carolina ,03-08-20,555268.1836
North Carolina ,03-15-20,801179.3728
North Carolina ,03-22-20,582838.4122
Ohio ,12-08-19,283192.0895
Ohio ,12-15-19,277291.1182
Ohio ,12-22-19,279205.0714
Ohio ,12-29-19,262601.6894
Ohio ,01-05-20,255754.9124
Ohio ,01-12-20,308360.5418
Ohio ,01-19-20,250957.6387
Ohio ,01-26-20,250386.3931
Ohio ,02-02-20,276290.2353
Ohio ,02-09-20,280003.0037
Ohio ,02-16-20,282853.2369
Ohio ,02-23-20,284750.693
Ohio ,03-01-20,346574.215
Ohio ,03-08-20,565296.091
Ohio ,03-15-20,1216200.009
Ohio ,03-22-20,820722.4501
Oklahoma ,12-08-19,73906.2822
Oklahoma ,12-15-19,69354.59272
Oklahoma ,12-22-19,69366.16207
Oklahoma ,12-29-19,71361.47062000001
Oklahoma ,01-05-20,71169.99508
Oklahoma ,01-12-20,68086.19986000001
Oklahoma ,01-19-20,64177.564379999996
Oklahoma ,01-26-20,63253.415870000004
Oklahoma ,02-02-20,68845.87726000001
Oklahoma ,02-09-20,74616.48139
Oklahoma ,02-16-20,70944.88694
Oklahoma ,02-23-20,69601.41644
Oklahoma ,03-01-20,85554.39663999999
Oklahoma ,03-08-20,139908.8341
Oklahoma ,03-15-20,250213.901
Oklahoma ,03-22-20,208022.2961
Oregon ,12-08-19,73158.18394
Oregon ,12-15-19,67642.33615
Oregon ,12-22-19,68502.80415
Oregon ,12-29-19,64080.28094
Oregon ,01-05-20,71936.7984
Oregon ,01-12-20,77603.72161000001
Oregon ,01-19-20,61171.85705
Oregon ,01-26-20,65283.29605
Oregon ,02-02-20,67665.17947999999
Oregon ,02-09-20,70131.04689
Oregon ,02-16-20,68219.80334
Oregon ,02-23-20,67614.95563
Oregon ,03-01-20,125475.7507
Oregon ,03-08-20,189989.2798
Oregon ,03-15-20,265265.5936
Oregon ,03-22-20,184570.8383
Pennsylvania ,12-08-19,296060.9914
Pennsylvania ,12-15-19,284900.566
Pennsylvania ,12-22-19,274859.1667
Pennsylvania ,12-29-19,257141.4059
Pennsylvania ,01-05-20,268972.468
Pennsylvania ,01-12-20,269879.4268
Pennsylvania ,01-19-20,273613.9544
Pennsylvania ,01-26-20,271089.9578
Pennsylvania ,02-02-20,286064.5556
Pennsylvania ,02-09-20,286679.8604
Pennsylvania ,02-16-20,280363.7226
Pennsylvania ,02-23-20,281631.8224
Pennsylvania ,03-01-20,366993.6102
Pennsylvania ,03-08-20,670613.5646
Pennsylvania ,03-15-20,1133883.007
Pennsylvania ,03-22-20,764191.822
Rhode Island ,12-08-19,19522.70221
Rhode Island ,12-15-19,17867.22965
Rhode Island ,12-22-19,17554.91465
Rhode Island ,12-29-19,18872.884280000002
Rhode Island ,01-05-20,19648.409509999998
Rhode Island ,01-12-20,18289.475280000002
Rhode Island ,01-19-20,18883.2173
Rhode Island ,01-26-20,18446.96202
Rhode Island ,02-02-20,19568.468930000003
Rhode Island ,02-09-20,21257.988540000002
Rhode Island ,02-16-20,19541.67204
Rhode Island ,02-23-20,19682.51892
Rhode Island ,03-01-20,25955.1931
Rhode Island ,03-08-20,56403.63244
Rhode Island ,03-15-20,75348.82925
Rhode Island ,03-22-20,67304.61413
South Carolina ,12-08-19,103702.2535
South Carolina ,12-15-19,101035.79199999999
South Carolina ,12-22-19,113221.3326
South Carolina ,12-29-19,111781.7109
South Carolina ,01-05-20,111292.6692
South Carolina ,01-12-20,107340.1317
South Carolina ,01-19-20,102079.6088
South Carolina ,01-26-20,95024.69889
South Carolina ,02-02-20,106274.0962
South Carolina ,02-09-20,115894.0192
South Carolina ,02-16-20,109771.4472
South Carolina ,02-23-20,103237.3459
South Carolina ,03-01-20,134971.0905
South Carolina ,03-08-20,248053.3616
South Carolina ,03-15-20,404899.4976
South Carolina ,03-22-20,324586.161
South Dakota ,12-08-19,17236.88997
South Dakota ,12-15-19,17267.97463
South Dakota ,12-22-19,16064.315880000002
South Dakota ,12-29-19,16543.81193
South Dakota ,01-05-20,15755.11751
South Dakota ,01-12-20,15796.530530000002
South Dakota ,01-19-20,13165.745640000001
South Dakota ,01-26-20,15396.56475
South Dakota ,02-02-20,14919.29239
South Dakota ,02-09-20,16172.71862
South Dakota ,02-16-20,15578.67274
South Dakota ,02-23-20,15868.23195
South Dakota ,03-01-20,19379.66206
South Dakota ,03-08-20,32484.16295
South Dakota ,03-15-20,69133.74958999999
South Dakota ,03-22-20,47730.64366
Tennessee ,12-08-19,146704.4726
Tennessee ,12-15-19,141040.9799
Tennessee ,12-22-19,144565.1379
Tennessee ,12-29-19,141531.1153
Tennessee ,01-05-20,143198.0533
Tennessee ,01-12-20,162526.5303
Tennessee ,01-19-20,134445.7384
Tennessee ,01-26-20,134336.8811
Tennessee ,02-02-20,145518.4615
Tennessee ,02-09-20,155739.3875
Tennessee ,02-16-20,149275.6307
Tennessee ,02-23-20,146674.587
Tennessee ,03-01-20,189279.4044
Tennessee ,03-08-20,347623.2681
Tennessee ,03-15-20,587299.9715
Tennessee ,03-22-20,427357.9413
Texas ,12-08-19,630199.3211
Texas ,12-15-19,583080.5997
Texas ,12-22-19,605967.3031
Texas ,12-29-19,629818.0207
Texas ,01-05-20,613572.5166
Texas ,01-12-20,651054.3809
Texas ,01-19-20,620599.9768
Texas ,01-26-20,585500.319
Texas ,02-02-20,630439.8516
Texas ,02-09-20,658160.8179
Texas ,02-16-20,715061.7837
Texas ,02-23-20,617332.1598
Texas ,03-01-20,917911.1054
Texas ,03-08-20,1535023.521
Texas ,03-15-20,2477218.674
Texas ,03-22-20,1692539.409
Utah ,12-08-19,68682.17902000001
Utah ,12-15-19,67622.20635
Utah ,12-22-19,70553.62666000001
Utah ,12-29-19,55276.32739
Utah ,01-05-20,57670.689289999995
Utah ,01-12-20,70630.19917
Utah ,01-19-20,55844.80795
Utah ,01-26-20,58433.1958
Utah ,02-02-20,62033.417389999995
Utah ,02-09-20,63742.9777
Utah ,02-16-20,64701.528889999994
Utah ,02-23-20,66964.16181
Utah ,03-01-20,95410.52664
Utah ,03-08-20,180815.3509
Utah ,03-15-20,232057.6408
Utah ,03-22-20,151205.7992
Vermont ,12-08-19,8536.087653
Vermont ,12-15-19,8741.780109000001
Vermont ,12-22-19,9790.76881
Vermont ,12-29-19,9610.49435
Vermont ,01-05-20,9950.214825
Vermont ,01-12-20,10358.57949
Vermont ,01-19-20,8958.033994
Vermont ,01-26-20,9261.003276000001
Vermont ,02-02-20,9201.97629
Vermont ,02-09-20,9491.868753
Vermont ,02-16-20,9763.377473
Vermont ,02-23-20,10283.99816
Vermont ,03-01-20,11338.70575
Vermont ,03-08-20,23895.36505
Vermont ,03-15-20,36529.602530000004
Vermont ,03-22-20,25614.270119999997
Virginia ,12-08-19,193642.0033
Virginia ,12-15-19,188394.53100000002
Virginia ,12-22-19,193655.842
Virginia ,12-29-19,185498.7454
Virginia ,01-05-20,193428.0122
Virginia ,01-12-20,201584.1778
Virginia ,01-19-20,189245.5153
Virginia ,01-26-20,187733.1923
Virginia ,02-02-20,202434.3012
Virginia ,02-09-20,203794.8154
Virginia ,02-16-20,201516.5607
Virginia ,02-23-20,201268.1763
Virginia ,03-01-20,277666.7386
Virginia ,03-08-20,497309.2866
Virginia ,03-15-20,771196.5101
Virginia ,03-22-20,573774.3696
Washington ,12-08-19,133420.7279
Washington ,12-15-19,125016.5257
Washington ,12-22-19,124089.2847
Washington ,12-29-19,114217.8096
Washington ,01-05-20,132044.7067
Washington ,01-12-20,138790.2674
Washington ,01-19-20,115648.1001
Washington ,01-26-20,123576.9141
Washington ,02-02-20,132408.9819
Washington ,02-09-20,130553.2887
Washington ,02-16-20,130042.8897
Washington ,02-23-20,129592.1337
Washington ,03-01-20,244080.9759
Washington ,03-08-20,417452.5776
Washington ,03-15-20,470345.5104
Washington ,03-22-20,309691.1852
West Virginia ,12-08-19,36875.23425
West Virginia ,12-15-19,35383.41293
West Virginia ,12-22-19,34294.22515
West Virginia ,12-29-19,34877.732339999995
West Virginia ,01-05-20,34701.71082
West Virginia ,01-12-20,44625.77312
West Virginia ,01-19-20,35887.303
West Virginia ,01-26-20,34032.350269999995
West Virginia ,02-02-20,37833.456439999994
West Virginia ,02-09-20,41357.13127
West Virginia ,02-16-20,40707.300460000006
West Virginia ,02-23-20,39660.19192
West Virginia ,03-01-20,46432.92263
West Virginia ,03-08-20,76186.37043
West Virginia ,03-15-20,156671.2411
West Virginia ,03-22-20,122755.2746
Wisconsin ,12-08-19,121313.4992
Wisconsin ,12-15-19,112118.3064
Wisconsin ,12-22-19,114207.4787
Wisconsin ,12-29-19,108066.9947
Wisconsin ,01-05-20,105333.4547
Wisconsin ,01-12-20,114822.8303
Wisconsin ,01-19-20,95994.41208
Wisconsin ,01-26-20,101630.8765
Wisconsin ,02-02-20,110957.3438
Wisconsin ,02-09-20,120204.3791
